Year,College Code,College Name,Branch Code,Branch Name,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST
2022,2615,"Government College of Engineering (Autonomous), Karuppur, Salem District 636011",CE,CIVIL ENGINEERING,170,155.24,125,158,,,153,142.5,124.5
2022,2615,"Government College of Engineering (Autonomous), Karuppur, Salem District 636011",CS,COMPUTER SCIENCE AND ENGINEERING,193.5,192,191.5,189.5,,,181,178.295,
2022,2615,"Government College of Engineering (Autonomous), Karuppur, Salem District 636011",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,191.5,190,180.5,187.845,,,175.5,166.07,
2022,2615,"Government College of Engineering (Autonomous), Karuppur, Salem District 636011",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,188,185,171.5,184.5,,,165.5,166.81,166.67
2022,2615,"Government College of Engineering (Autonomous), Karuppur, Salem District 636011",ME,MECHANICAL ENGINEERING,174,163.5,150,159,,,143.5,144.87,144.285
2022,2615,"Government College of Engineering (Autonomous), Karuppur, Salem District 636011",MT,METALLURGICAL ENGINEERING,173.5,157.5,167,160.5,,,105.5,126,
2021,2615,"Government College of Engineering (Autonomous), Karuppur, Salem District 636011",CE,CIVIL ENGINEERING,182.24,178.605,173.175,179.045,174.9,178.825,172.44,163.065,162.22
2021,2615,"Government College of Engineering (Autonomous), Karuppur, Salem District 636011",CS,COMPUTER SCIENCE AND ENGINEERING,192.295,191.295,187.5,191.22,189.48,189.45,184.49,181.7,
2021,2615,"Government College of Engineering (Autonomous), Karuppur, Salem District 636011",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,191.045,190.5,187.68,190.65,188.405,188.89,183.36,178.12,
2021,2615,"Government College of Engineering (Autonomous), Karuppur, Salem District 636011",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,189.5,188.505,186,189.105,187.405,186.73,180.01,175.725,
2021,2615,"Government College of Engineering (Autonomous), Karuppur, Salem District 636011",ME,MECHANICAL ENGINEERING,182.53,178.935,179.81,177.15,176.22,179.13,173,167.085,167.965
2021,2615,"Government College of Engineering (Autonomous), Karuppur, Salem District 636011",MT,METALLURGICAL ENGINEERING,184.99,181.195,174.45,183.79,175.625,180.23,169.5,164.42,159.63
2020,2615,"Government College of Engineering (Autonomous), Karuppur, Salem District 636011",CE,Civil Engineering,159,150,141.5,147,,,136,106,121
2020,2615,"Government College of Engineering (Autonomous), Karuppur, Salem District 636011",CS,Computer Science and Engineering,185,182.5,173,179,,,155.5,172.5,149
2020,2615,"Government College of Engineering (Autonomous), Karuppur, Salem District 636011",EC,Electronics and Communication Engineering,181.5,179.5,175.25,177.5,,,150.5,114,
2020,2615,"Government College of Engineering (Autonomous), Karuppur, Salem District 636011",EE,Electrical and Electronics Engineering,178,175,170,173.5,,,148.5,130,108
2020,2615,"Government College of Engineering (Autonomous), Karuppur, Salem District 636011",ME,Mechanical Engineering,166,156,148,154,,,133.5,102,91
2020,2615,"Government College of Engineering (Autonomous), Karuppur, Salem District 636011",MT,Metallurgical Engineering,168,163,154.5,159,,,136.5,112,135
